dest_ip,dest_port
103.90.156.248,8080
103.91.82.177,8080
103.92.218.121,9514
103.93.34.17,8999
103.93.93.142,3125
103.93.93.207,8080
103.93.93.209,8089
103.94.170.202,3888
103.94.251.91,8085
103.94.52.70,3128
103.97.140.127,3125
103.97.140.159,3125
103.97.140.226,8080
103.97.140.64,8080
103.97.140.96,8080
103.97.224.219,8181
103.97.46.214,82
103.97.46.214,83
103.97.46.214,84
103.99.110.222,5678
103.99.27.130,8080
103.99.27.155,3125
103.99.27.156,3125
104.143.224.154,6015
104.143.224.179,6040
104.143.224.185,6046
104.143.224.188,6049
104.143.224.62,5923
104.143.224.75,5936
104.143.226.183,5786
104.143.226.196,5799
104.143.226.253,5856
104.143.226.32,5635
104.143.226.49,5652
104.143.226.94,5697
104.161.23.122,5034
104.161.23.122,5037
104.164.254.56,6735
104.165.66.4,7159
104.167.19.247,3129
104.167.19.45,3129
104.168.25.173,5855
104.199.219.13,3128
104.200.135.46,4145
104.200.21.190,8080
104.207.33.243,3129
104.207.34.97,3129
104.207.35.100,3129
104.207.36.59,3129
104.207.37.146,3129
104.207.37.89,3129
104.207.39.51,3129
104.207.39.69,3129
104.207.40.73,3129
104.207.40.87,3129
104.207.43.58,3129
104.207.44.124,3129
104.207.44.251,3129
104.207.45.234,3129
104.207.46.203,3129
104.225.220.233,80
104.230.113.255,80
104.238.38.27,6295
104.239.105.181,6711
104.239.106.126,5771
104.248.149.186,3128
104.248.81.109,3129
104.253.77.199,5621
104.36.236.101,8080
104.37.135.145,4145
105.112.135.166,8080
105.112.83.165,8080
105.174.40.54,8080
105.19.63.217,9812
105.30.55.2,8080
106.0.158.114,8080
106.0.168.138,8080
106.10.55.212,1121
107.152.98.5,4145
107.155.55.190,1080
107.172.221.138,6093
107.173.211.190,3128
107.174.25.130,5584
107.174.4.31,6000
107.175.119.121,6649
107.175.208.136,6077
107.175.208.39,5980
107.181.148.202,6062
107.181.148.28,5888
107.181.154.112,5790
107.181.154.115,5793
107.181.154.126,5804
107.181.154.14,5692
107.181.154.173,5851
107.181.161.81,4145
107.191.58.81,1080
107.219.228.250,7777
108.162.193.151,80
108.162.198.241,80
108.170.12.11,80
108.170.12.12,80
109.107.166.207,30385
109.111.251.158,6666
109.135.16.145,49879
109.160.97.49,4145
109.167.83.167,5678
109.195.98.7,21776
109.197.55.234,1080
109.200.155.195,8080
109.200.159.29,8080
109.224.22.34,51372
109.224.22.35,51372
109.224.242.151,8080
109.224.242.208,8080
109.224.242.21,8080
109.224.242.26,8080
109.224.242.38,8080
109.224.242.6,8080
109.234.39.202,3128
109.236.88.82,80
109.237.97.176,36090
109.238.181.53,8083
109.238.242.11,3128
109.248.249.33,8081
109.73.192.102,1081
109.86.182.203,3128
110.16.77.101,8082
110.16.77.102,8082
110.164.162.45,80
110.164.162.45,8080
110.164.175.110,8080
110.164.208.125,8888
110.232.66.209,808
110.232.80.11,8080
110.232.85.86,6060
110.232.87.251,8080
110.232.92.49,8080
110.235.240.135,1080
110.235.240.223,1080
110.235.246.220,45212
110.235.247.206,1080
110.235.249.226,8080
110.34.1.180,80
110.34.13.4,8080
110.34.8.110,8080
110.39.183.34,8080
110.44.115.83,8080
110.44.169.100,4444
110.49.11.50,8080
110.49.34.126,32650
110.49.53.69,8081
110.74.203.250,8080
110.74.206.40,8181
110.74.219.3,8080
110.76.147.29,1080
110.77.180.182,80
110.82.222.32,8089
110.93.206.62,5678
111.125.242.34,80
111.224.212.241,8089
111.225.152.112,8089
111.225.152.120,8089
111.225.152.158,8089
111.225.152.15,8089
111.225.152.230,8089
111.225.152.23,8089
111.225.152.246,8089
111.225.152.2,8089
111.225.152.39,8089
111.225.152.48,8089
111.225.152.56,8089
111.225.152.86,8089
111.225.153.117,8089
111.225.153.11,8089
111.225.153.136,8089
111.225.153.142,8089
111.225.153.178,8089
111.225.153.187,8089
111.225.153.201,8089
111.225.153.207,8089
111.225.153.220,8089
111.225.153.236,8089
111.225.153.251,8089
111.225.153.27,8089
111.225.153.4,8089
111.225.153.67,8089
111.67.103.90,1080
111.90.188.245,41890
112.119.43.57,80
112.14.47.6,52024
112.196.79.14,3129
112.198.128.171,8083
112.198.138.14,8082
112.198.146.94,8082
112.198.179.67,8080
112.198.22.122,80
112.203.192.108,8082
112.250.107.37,53281
112.5.33.179,999
112.78.131.91,8080
112.78.146.244,8080
112.78.168.122,8080
112.78.177.136,5678
112.78.181.91,3128
112.87.140.163,9401
112.87.140.163,9443
112.87.140.163,9480
112.93.118.61,3128
113.108.13.120,8083
113.11.120.105,30226
113.11.126.238,30226
113.11.75.153,9107
113.11.76.233,30226
113.160.130.82,443
113.160.132.26,8080
113.160.208.169,19132
113.160.214.209,19132
113.160.234.147,57921
113.161.59.136,8080
113.161.93.174,6008
113.176.118.150,1080
113.176.118.231,9812
113.176.92.71,3128
113.176.92.71,3129
113.192.1.138,8181
113.192.1.154,8181
